101學年度大專校院名錄,,,,,,
,,,,,,
代碼,學校名稱,縣市名稱,地址,電話,網址,體系別
1001,東海大學,[19]臺中市,[407]臺中市西屯區臺中港路三段181號,(04)23590121,http://www.thu.edu.tw,[1]一般
1002,輔仁大學,[01]新北市,[242]新北市新莊區中正路510號,(02)29052000,http://www.fju.edu.tw,[1]一般
1003,東吳大學,[41]臺北市,[111]臺北市士林區臨溪路70號,(02)28819471,http://www.scu.edu.tw,[1]一般
1004,中原大學,[03]桃園縣,[320]桃園縣中壢市中北路200號,(03)2659999,http://www.cycu.edu.tw,[1]一般
1005,淡江大學,[01]新北市,[251]新北市淡水區英專路151號,(02)26215656,http://www.tku.edu.tw,[1]一般
1006,中國文化大學,[41]臺北市,[111]臺北市士林區華岡路55號,(02)28610511,http://www.pccu.edu.tw,[1]一般
1007,逢甲大學,[19]臺中市,[407]臺中市西屯區文華路100號,(04)24517250,http://www.fcu.edu.tw/wSite/mp?mp=1,[1]一般
1008,靜宜大學,[06]臺中市,[433]臺中市沙鹿區臺灣大道7段200號,(04)26328001,http://www.pu.edu.tw,[1]一般
1009,長庚大學,[03]桃園縣,[333]桃園縣龜山鄉文化一路259號,(03)2118800,http://www.cgu.edu.tw,[1]一般
1010,元智大學,[03]桃園縣,[320]桃園縣中壢市遠東路135號,(03)4638800,http://www.yzu.edu.tw,[1]一般
1011,中華大學,[18]新竹市,[300]新竹市香山區東香里五福路二段707號,(035)374281,http://www.chu.edu.tw,[1]一般
1012,大葉大學,[07]彰化縣,[515]彰化縣大村鄉學府路168號,(04)8511888,http://www.dyu.edu.tw,[1]一般
1013,華梵大學,[01]新北市,[223]新北市石碇區華梵路1號,(02)26632102,http://www.hfu.edu.tw,[1]一般
1014,義守大學,[12]高雄市,[840]高雄市大樹區三和里學城路一段1號,(07)6577711,http://www.isu.edu.tw,[1]一般
1015,世新大學,[38]臺北市,[116]臺北市文山區木柵路一段17巷1號,(02)22368225,http://www.shu.edu.tw,[1]一般
1016,銘傳大學,[41]臺北市,[111]臺北市士林區中山北路五段250號,(02)28824564,http://www.mcu.edu.tw,[1]一般
1017,實踐大學,[34]臺北市,[104]臺北市中山區大直街70號,(02)25381111,http://www.usc.edu.tw,[1]一般
1018,朝陽科技大學,[06]臺中市,[413]臺中市霧峰區吉峰東路168號,(04)23323000,http://www.cyut.edu.tw,[2]技職
1019,高雄醫學大學,[55]高雄市,[807]高雄市三民區十全一路100號,(07)3121101,http://www2.kmu.edu.tw/front/bin/home.phtml,[1]一般
1020,南華大學,[10]嘉義縣,[622]嘉義縣大林鎮南華路一段55號,(05)2721001,http://www.nhu.edu.tw,[1]一般
1021,真理大學,[01]新北市,[251]新北市淡水區真理街32號,(02)26212121,http://www.au.edu.tw,[1]一般
1022,大同大學,[34]臺北市,[104]臺北市中山區中山北路三段40號,(02)21822928,http://www.ttu.edu.tw,[1]一般
1023,南臺科技大學,[11]臺南市,[710]臺南市永康區尚頂里南臺街1號,(06)2533131,http://www.stust.edu.tw,[2]技職
1024,崑山科技大學,[11]臺南市,[710]臺南市永康區大灣路949號,(06)2727175,http://www.ksu.edu.tw,[2]技職
1025,嘉南藥理科技大學,[11]臺南市,[717]臺南市仁德區二仁路一段60號,(06)2664911,http://www.chna.edu.tw,[2]技職
1026,樹德科技大學,[12]高雄市,[824]高雄市燕巢區橫山路59號,(07)6158000,http://www.stu.edu.tw,[2]技職
1027,慈濟大學,[15]花蓮縣,[970]花蓮縣花蓮市中央路三段701號,(038)565301,http://www.tcu.edu.tw,[1]一般
1028,臺北醫學大學,[32]臺北市,[110]臺北市信義區吳興街250號,(02)27361661,http://www.tmu.edu.tw,[1]一般
1029,中山醫學大學,[19]臺中市,[402]臺中市南區建國北路一段110號,(04)24730022,http://www.csmu.edu.tw,[1]一般
1030,龍華科技大學,[03]桃園縣,[333]桃園縣龜山鄉萬壽路一段300號,(02)82093211,http://www.lhu.edu.tw/,[2]技職
1031,輔英科技大學,[12]高雄市,[831]高雄市大寮區進學路151號,(07)7811151,http://www.fy.edu.tw,[2]技職
1032,明新科技大學,[04]新竹縣,[304]新竹縣新豐鄉新興路1號,(035)593142,http://www.must.edu.tw,[2]技職
1033,長榮大學,[11]臺南市,[711]臺南市歸仁區大潭里長榮路一段396號,(06)2785123,http://www.cjcu.edu.tw,[1]一般
1034,弘光科技大學,[06]臺中市,[433]臺中市沙鹿區臺灣大道六段1018號,(04)26318652,http://www.hk.edu.tw,[2]技職
1035,中國醫藥大學,[19]臺中市,[404]臺中市北區學士路91號,(04)22053366,http://www.cmu.edu.tw,[1]一般
1036,健行科技大學,[03]桃園縣,[320]桃園縣中壢市健行路229號,(03)4581196,http://www.cyu.edu.tw,[2]技職
1037,正修科技大學,[12]高雄市,[833]高雄市鳥松區澄清路840號,(07)7358800,http://www.csu.edu.tw/main.php,[2]技職
1038,萬能科技大學,[03]桃園縣,[320]桃園縣中壢市萬能路1號,(03)4515811,http://www.vnu.edu.tw/,[2]技職
1039,玄奘大學,[18]新竹市,[300]新竹市香山區東香里玄奘路48號,(03)5302255,http://www.hcu.edu.tw,[1]一般
1040,建國科技大學,[07]彰化縣,[500]彰化縣彰化市介壽北路1號,(04)7111111,http://www.ctu.edu.tw,[2]技職
1041,明志科技大學,[01]新北市,[243]新北市泰山區工專路84號,(02)29089899,http://www.mcut.edu.tw/,[2]技職
1042,高苑科技大學,[12]高雄市,[821]高雄市路竹區中山路1821號,(07)6077777,http://www.kyu.edu.tw/kyunew2/allkyu.html,[2]技職
1043,大仁科技大學,[13]屏東縣,[907]屏東縣鹽埔鄉新二村維新路20號,(08)7624002,http://www.tajen.edu.tw,[2]技職
1044,聖約翰科技大學,[01]新北市,[251]新北市淡水區淡金路四段499號,(02)28013131,http://www.sju.edu.tw/,[2]技職
1045,嶺東科技大學,[19]臺中市,[408]臺中市南屯區嶺東路1號,(04)23892088,http://www.ltu.edu.tw,[2]技職
1046,中國科技大學,[38]臺北市,[116]臺北市文山區興隆路三段56號,(02)29313416,http://www.cute.edu.tw/home_page.html,[2]技職
1047,中臺科技大學,[19]臺中市,[406]臺中市北屯區?子路666號,(04)22391647,http://www.ctust.edu.tw,[2]技職
1048,亞洲大學,[06]臺中市,[413]臺中市霧峰區柳豐路500號,(04)23323456,http://www.asia.edu.tw,[1]一般
1049,開南大學,[03]桃園縣,[338]桃園縣蘆竹鄉開南路1號,(03)3412500,http://www.knu.edu.tw,[1]一般
1050,佛光大學,[02]宜蘭縣,[262]宜蘭縣礁溪鄉林美村林尾路160號,(03)9871000,http://www.fgu.edu.tw,[1]一般
1051,台南應用科技大學,[11]臺南市,[710]臺南市永康區中正路529號,(06)2532106,http://www.tut.edu.tw/,[2]技職
1052,遠東科技大學,[11]臺南市,[744]臺南市新市區中華路49號,(06)5979566,http://www.feu.edu.tw,[2]技職
1053,元培科技大學,[18]新竹市,[300]新竹市香山區元培街306號,(035)381183,http://www.ypu.edu.tw/bin/home.php,[2]技職
1054,景文科技大學,[01]新北市,[231]新北市新店區安忠路99號,(02)82122000,http://www.just.edu.tw/,[2]技職
1055,中華醫事科技大學,[11]臺南市,[717]臺南市仁德區文華一街89號,(06)2674567,http://www.hwai.edu.tw,[2]技職
1056,東南科技大學,[01]新北市,[222]新北市深坑區北深路三段152號,(02)86625900,http://www.tnu.edu.tw/,[2]技職
1057,德明財經科技大學,[40]臺北市,[114]臺北市內湖區環山路一段56號,(02)26585801,http://www.takming.edu.tw,[2]技職
1058,明道大學,[07]彰化縣,[523]彰化縣埤頭鄉文化路369號,(04)8876660,http://www.mdu.edu.tw,[1]一般
1059,康寧大學,[21]臺南市,[709]臺南市安南區安中路五段188號,(06)2552500,http://www.ukn.edu.tw/ukn/index.html,[1]一般
1060,南開科技大學,[08]南投縣,[542]南投縣草屯鎮中正路568號,(049)2563489,http://www.nkut.edu.tw,[2]技職
1061,中華科技大學,[39]臺北市,[115]臺北市南港區研究院路三段245號,(02)27821862,http://www.cust.edu.tw/www/cust.html,[2]技職
1062,僑光科技大學,[19]臺中市,[407]臺中市西屯區僑光路100號,(04)27016855,http://www.ocu.edu.tw,[2]技職
1063,育達商業科技大學,[05]苗栗縣,[361]苗栗縣造橋鄉談文村學府路168號,(037)651188,http://www.ydu.edu.tw,[2]技職
1064,美和科技大學,[13]屏東縣,[912]屏東縣內埔鄉美和村屏光路23號,(08)7799821,http://www.meiho.edu.tw,[2]技職
1065,吳鳳科技大學,[10]嘉義縣,[621]嘉義縣民雄鄉建國路二段117號,(05)2267125,http://www.wfu.edu.tw/wufeng/,[2]技職
1066,環球科技大學,[09]雲林縣,[640]雲林縣斗六市嘉東里鎮南路1221號,(05)5370988,http://www.twu.edu.tw/,[2]技職
1067,台灣首府大學,[11]臺南市,[721]臺南市麻豆區南勢168號,(06)5718888,http://www.tsu.edu.tw/,[1]一般
1068,中州科技大學,[07]彰化縣,[510]彰化縣員林鎮山腳路三段2巷6號,(04)8359000,http://www.ccut.edu.tw,[2]技職
1069,修平科技大學,[06]臺中市,[412]臺中市大里區工業路11號,(04)24961100,http://www.hust.edu.tw/,[2]技職
1070,長庚科技大學,[03]桃園縣,[333]桃園縣龜山鄉文化一路261號,(03)2118999,http://new.cgust.edu.tw/front/bin/home.phtml,[2]技職
1071,台北城市科技大學,[42]臺北市,[112]臺北市北投區學園路2號,(02)28927154,http://www.tsint.edu.tw/,[2]技職
1072,大華科技大學,[04]新竹縣,[307]新竹縣芎林鄉大華路1號,(035)927700,http://www.thit.edu.tw,[2]技職
1073,醒吾科技大學,[01]新北市,[244]新北市林口區粉寮路一段101號,(02)26015310,http://www.hwc.edu.tw,[2]技職
3001,臺北市立教育大學,[35]臺北市,[100]臺北市中正區愛國西路1號,(02)23113040,http://w3.tmue.edu.tw/front/bin/home.phtml,[3]師範
0136,國立屏東商業技術學院,[13]屏東縣,[900]屏東縣屏東市民生東路51號,(08)7238700,http://www.npic.edu.tw,[2]技職
0142,國立臺北商業技術學院,[35]臺北市,[100]臺北市中正區濟南路一段321號,(02)23935263,http://www.ntcb.edu.tw,[2]技職
0144,國立臺灣戲曲學院,[40]臺北市,[114]臺北市內湖區內湖路二段177號,(02)27962666,http://www.tcpa.edu.tw/bin/home.php,[2]技職
1125,興國管理學院,[21]臺南市,[709]臺南市安南區臺江大道三段600號,(06)2873335,http://www.hku.edu.tw,[1]一般
1147,文藻外語學院,[55]高雄市,[807]高雄市三民區民族一路900號,(07)3426031,http://www.wtuc.edu.tw,[2]技職
1148,大漢技術學院,[15]花蓮縣,[971]花蓮縣新城鄉大漢村樹人街1號,(038)210888,http://www.dahan.edu.tw,[2]技職
1150,慈濟技術學院,[15]花蓮縣,[970]花蓮縣花蓮市建國路二段880號,(03)8572158,http://www.tccn.edu.tw,[2]技職
1154,永達技術學院,[13]屏東縣,[909]屏東縣麟洛鄉中山路316號,(08)7233733,http://www.ytit.edu.tw,[2]技職
1159,和春技術學院,[12]高雄市,[831]高雄市大寮區琉球里至學路288號,(07)7889888,http://www.fotech.edu.tw,[2]技職
1164,致理技術學院,[01]新北市,[220]新北市板橋區文化路一段313號,(02)22576167,http://www.chihlee.edu.tw,[2]技職
1166,亞東技術學院,[01]新北市,[220]新北市板橋區四川路二段58號,(02)77380145,http://www.oit.edu.tw,[2]技職
1168,桃園創新技術學院,[03]桃園縣,[320]桃園縣中壢市中山東路三段414號,(03)4361070,http://www.nanya.edu.tw,[2]技職
